Model,Dataset,ECE,ACE,Accuracy
ViT-B-16-plus-240_laion400m_e32,mnist,0.07706566154956818,0.07750565558671951,0.5816020459797663
ViT-B-16-plus-240_laion400m_e32,pcam,0.1861812025308609,0.18671850860118866,0.5009336305623796
ViT-B-16-plus-240_laion400m_e32,pets,0.012824139557778835,0.011447345837950706,0.9009409992410438
ViT-B-16-plus-240_laion400m_e32,renderedsst2,0.17003554105758667,0.17472423613071442,0.5796385559608592
ViT-B-16-plus-240_laion400m_e32,resisc45,0.107586570084095,0.10703267902135849,0.661043116874024
ViT-B-16-plus-240_laion400m_e32,stl10,0.014941183850169182,0.01493135653436184,0.96975
ViT-B-16-plus-240_laion400m_e32,sun397,0.12235277891159058,0.1223495677113533,0.6829736309862404
ViT-B-16-plus-240_laion400m_e32,svhn,0.142216295003891,0.1422417014837265,0.3466744634677166
ViT-B-16-plus-240_laion400m_e32,voc2007,0.1295587718486786,0.12950286269187927,0.8137197825408938
ViT-g-14_laion2b_s12b_b42k,cars,0.007054736837744713,0.007890057750046253,0.9292348145473953
ViT-g-14_laion2b_s12b_b42k,cifar100,0.05200048163533211,0.05204050987958908,0.84
ViT-g-14_laion2b_s12b_b42k,clevr_closest_object_distance,0.1575516164302826,0.1575515866279602,0.197647617663851
ViT-g-14_laion2b_s12b_b42k,clevr_count_all,0.12520179152488708,0.12545904517173767,0.30292850961482376
ViT-g-14_laion2b_s12b_b42k,country211,0.19632571935653687,0.19638361036777496,0.2880568720379147
ViT-g-14_laion2b_s12b_b42k,diabetic_retinopathy,0.2647673487663269,0.26466450095176697,0.22863655601694371
ViT-g-14_laion2b_s12b_b42k,dmlab,0.2764799892902374,0.27631983160972595,0.1759245426034696
ViT-g-14_laion2b_s12b_b42k,dtd,0.07489524036645889,0.0685221329331398,0.6824468085106383
ViT-g-14_laion2b_s12b_b42k,eurosat,0.0541127473115921,0.0571480430662632,0.6414831972389111
ViT-g-14_laion2b_s12b_b42k,fer2013,0.3941683769226074,0.3940890431404114,0.2648142496882261
ViT-g-14_laion2b_s12b_b42k,flowers,0.03943130373954773,0.04082774743437767,0.7877805880955008
ViT-g-14_laion2b_s12b_b42k,gtsrb,0.08758243918418884,0.08789326250553131,0.46833849526872773
ViT-g-14_laion2b_s12b_b42k,kitti_closest_vehicle_distance,0.46067023277282715,0.4591273367404938,0.21034910720063496
ViT-g-14_laion2b_s12b_b42k,mnist,0.10271291434764862,0.10269245505332947,0.6907449211943761
ViT-g-14_laion2b_s12b_b42k,pcam,0.12060201168060303,0.12061483412981033,0.5470572442032582
ViT-g-14_laion2b_s12b_b42k,pets,0.013199761509895325,0.010977164842188358,0.944240774386726
ViT-g-14_laion2b_s12b_b42k,renderedsst2,0.09052641689777374,0.09037657082080841,0.6421403653523247
ViT-g-14_laion2b_s12b_b42k,resisc45,0.0739838033914566,0.07293082773685455,0.7376357870311638
ViT-g-14_laion2b_s12b_b42k,stl10,0.003255534917116165,0.0022128026466816664,0.9864999999999998
ViT-g-14_laion2b_s12b_b42k,sun397,0.07663438469171524,0.0766368955373764,0.7495016672147762
ViT-g-14_laion2b_s12b_b42k,svhn,0.08158203959465027,0.08153911679983139,0.5408582663125148
ViT-g-14_laion2b_s12b_b42k,voc2007,0.09381694346666336,0.09385380893945694,0.8564875629023849
convnext_base_w_320_laion_aesthetic_s13b_b82k,cars,0.010256416164338589,0.008398099802434444,0.8837875096515123
convnext_base_w_320_laion_aesthetic_s13b_b82k,cifar100,0.1529524177312851,0.1530938446521759,0.5922999999999999
